No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	4A	LR2-1	When you hear the word "robot," what kind of robot do you imagine?	あなたが「ロボット」という言葉を聞くとき、どんな種類のロボットを想像しますか？	when (接続詞)	what kind of ~?		
2	4A	LR2-2	Some people think of anime characters, some people think of human-like robots that talk to people, and some people think of home cleaning robots.	アニメのキャラクターを思い浮かべる人もいれば、人と話す人間のようなロボットを思い浮かべる人もいれば、家庭用掃除ロボットを思い浮かべる人もいます。	Some ..., some ..., and some ...	think of ~	関係代名詞(that)	
3	4A	LR2-3	Scientists are continuing to invent more and more robots.	科学者たちはますます多くのロボットを発明し続けています。	continue to do	more and more		
4	4A	LR2-4	What kind of robots have they created?	彼らはどんな種類のロボットを創り出してきたのでしょうか？	現在完了形(結果)	what kind of ~?		
5	4A	LR2-5	Let's look at some examples and think about the relationship between humans and robots.	いくつかの例を見て、人間とロボットの関係について考えてみましょう。	Let's do	look at ~		
6	4A	LR2-6	This is "HAL," a robot suit. It's a cyborg-type robot.	これはロボットスーツ「HAL」です。それはサイボーグ型のロボットです。				
7	4A	LR2-7	HAL doesn't do anything by itself, but it helps people carry heavy things and protects them from injury.	HALはそれ自体では何もしませんが、人々が重いものを運ぶのを助け、怪我から彼らを守ります。	by itself	help O do		
8	4A	LR2-8	HAL is used in care facilities.	HALは介護施設で使われています。	受動態			
9	4A	LR2-9	It supports people who work there.	それはそこで働く人々をサポートします。	関係代名詞(who)			
10	4A	LR2-10	It helps them transfer elderly people.	それは彼らが年配の人々を移すのを助けます。	help O do (to省略)			
11	4A	LR2-11	Elderly people can use HAL, too.	年配の人々もHALを使うことができます。	can			
12	4A	LR2-12	It helps them move their body.	それは彼らが体を動かすのを助けます。	help O do (to省略)			
13	4A	LR2-13	In addition, it improves and maintains their physical functions.	加えて、それは彼らの身体機能を改善し、維持します。	In addition			
14	4A	LR2-14	HAL can widen our possibilities.	HALは私たちの可能性を広げることができます。	can			
15	4A	LR2-15	Orihime is an "avatar" robot.	オリヒメは「アバター」ロボットです。				
16	4A	LR2-16	Avatar means something that represents you in the virtual world.	アバターとは、仮想世界であなたを表現する何かを意味します。	関係代名詞(that)			
17	4A	LR2-17	This robot can represent you and communicate with people in the real world.	このロボットはあなたを表現し、現実世界の人々とコミュニケーションをとることができます。	can			
18	4A	LR2-18	One of the first OriHime users was Mr. Nagahiro Masato.	最初のオリヒメユーザーの一人は、ナガヒロ・マサトさんでした。	One of ~			
19	4A	LR2-19	He was a 25-year-old man who had a serious illness.	彼は深刻な病気を患っていた25歳の男性でした。	関係代名詞(who)			
20	4A	LR2-20	He didn't have a job before because he could not move his body.	彼は体を動かすことができなかったので、以前は仕事がありませんでした。	because	can (could)		
21	4A	LR2-21	Then OriHime let him work at a cafe.	そこでオリヒメは彼がカフェで働くことを可能にしました。	let O do			
22	4A	LR2-22	Orihime worked as his avatar.	オリヒメは彼のアバターとして働きました。				
23	4A	LR2-23	Mr. Nagahiro controlled the robot with small movements of his fingers at home.	ナガヒロさんは家で、指のわずかな動きでロボットを操作しました。				
24	4A	LR2-24	He watched a live video that was sent from the robot's eyes, and he talked through a microphone.	彼はロボットの目から送られてくるライブ映像を見ながら、マイクを通して話しました。	関係代名詞(that)	受動態		
25	4A	LR2-25	That way, he was able to serve customers who came to the cafe.	そうすることで、彼はカフェに来た客に給仕することができました。	be able to do	関係代名詞(who)		
26	4A	LR2-26	Thanks to Orihime, he will be able to try new things in the future.	オリヒメのおかげで、彼は将来新しいことに挑戦することができるでしょう。	Thanks to ~	be able to do (未来)		
27	4A	LR2-27	Now, look at this picture.	さて、この写真を見てください。	look at ~			
28	4A	LR2-28	This robot is called Sociable Trash Box.	このロボットは「社交的なゴミ箱」と呼ばれています。	受動態	call A B (の受動態)		
29	4A	LR2-29	What does it do? Can you guess?	それは何をするのでしょうか？推測できますか？	doの疑問文	can		
30	4A	LR2-30	This robot finds trash on the floor, but it can't pick it up.	このロボットは床のゴミを見つけますが、それを拾うことはできません。	but	can't	pick ~ up	
31	4A	LR2-31	This robot needs somebody to help it.	このロボットはそれを助けてくれる誰かを必要としています。	to不定詞(形容詞的用法)			
